feature,lable
"[-3.6422656e+02  1.3304326e+02 -2.4707306e+01  8.9486523e+00
  1.6150799e+01 -1.8099201e+01  3.5212162e+00  1.5929078e+00
 -1.2599128e+01  4.6493783e+00 -3.1116605e+00 -1.2241687e+01
  2.5047526e+00 -2.4542387e+00 -5.8728671e+00  2.7334628e+00
 -4.7940702e+00 -4.8853221e+00  2.0367644e+00 -4.2588725e+00
 -1.9325539e+00  2.5848575e+00 -2.6889038e+00  1.3463879e+00
  3.9414833e+00 -8.1268001e-01  2.6843581e+00  2.5836065e+00
 -8.3086485e-01  3.8475258e+00  2.9941244e+00  3.8301089e-01
  4.5481858e+00  3.0324953e+00  1.3380239e+00  4.2859197e+00
  1.9151437e+00  9.9206430e-01  2.7187650e+00 -7.2317839e-02]",1
"[-3.7986017e+02  1.1947180e+02 -3.1631770e+00  2.5166592e+01
 -1.7593751e+00 -1.2548706e+01 -1.2331141e+01 -5.9716573e+00
 -1.2446113e+01 -7.7756786e-01 -2.0647331e+01 -1.8096244e+00
 -5.6663442e+00 -6.8642945e+00 -1.8695775e+00 -4.0313420e+00
 -9.0565557e+00 -5.8675466e+00 -6.2559180e+00 -8.3861609e+00
 -3.4966891e+00 -6.3720384e+00 -4.3772697e+00 -4.0567503e+00
 -4.2269087e+00  4.2905572e-01 -4.9580708e+00 -3.8122301e+00
 -3.8487253e+00 -1.8853492e+00  1.1001815e+00  5.4592762e-02
 -2.5882103e+00 -2.0362051e+00  8.9647490e-01 -1.9934226e+00
 -1.4741307e+00 -1.4315574e+00  1.0245470e-01 -1.8637209e+00]",1
"[-3.5354391e+02  1.4500945e+02 -3.1722630e+01  8.8774796e+00
  1.7003290e+01 -2.3185591e+01  3.0793181e-01 -2.1009328e+00
 -1.6788351e+01  4.2132239e+00 -4.6458659e+00 -1.5012485e+01
  1.7071625e+00 -5.0713601e+00 -9.6436281e+00  1.0548840e+00
 -6.1433764e+00 -5.4207592e+00  2.8250382e+00 -4.2820835e+00
 -2.1494329e+00  2.2931314e+00 -3.6359174e+00  1.4678650e+00
  4.4505095e+00 -1.0655092e+00  3.2673843e+00  3.5410433e+00
 -3.7707111e-01  5.0828328e+00  4.7632399e+00  1.8468665e+00
  5.7161422e+00  3.4589708e+00  1.4934075e+00  4.6675072e+00
  1.9006325e+00  1.0854651e+00  3.4114635e+00  2.4644995e-01]",1
"[-3.5276407e+02  1.3659334e+02 -3.1263487e+01  8.0833149e+00
  1.6208891e+01 -2.2555998e+01  2.0726985e-01 -9.5767897e-01
 -1.5420389e+01  3.6674249e+00 -4.7453642e+00 -1.4834786e+01
  7.7294356e-01 -5.8572655e+00 -1.0486400e+01  1.6473031e-01
 -6.0946612e+00 -5.3001208e+00  2.8678777e+00 -4.3422236e+00
 -3.1271982e+00  2.0995533e+00 -2.1761327e+00  2.7970939e+00
  5.6993885e+00  2.1903446e-01  3.5181923e+00  3.5464294e+00
 -1.5526527e-01  4.7924104e+00  4.4091597e+00  1.7212807e+00
  5.8212404e+00  4.1459117e+00  1.9751692e+00  4.4400725e+00
  1.6697952e+00  8.9693564e-01  3.0749984e+00 -1.8595463e-01]",1
"[-4.27301239e+02  1.29095963e+02 -3.96940780e+00  8.76096535e+00
 -1.36913037e+00  8.46082592e+00  6.44994450e+00 -5.25289392e+00
 -1.08535624e+01  3.26277709e+00 -9.95238209e+00 -1.12274475e+01
 -5.67448902e+00  5.16967630e+00 -6.84406805e+00 -3.74527383e+00
 -6.70371437e+00 -9.02433872e+00 -7.01913786e+00 -7.23118401e+00
 -1.30686283e+01 -4.39515829e+00 -6.26018572e+00 -6.66785097e+00
  2.94260526e+00 -6.97161388e+00 -4.30928421e+00 -4.62267065e+00
 -8.36949921e+00 -4.11666691e-01 -2.31136799e+00  6.10640287e-01
 -3.27551627e+00 -1.01358688e+00 -2.66692162e+00  1.18020892e+00
 -2.89961886e+00 -3.70279729e-01  8.24483931e-01 -3.37964940e+00]",1
"[-3.6649469e+02  1.3692697e+02 -3.1291975e+01  1.0038918e+01
  1.6999685e+01 -2.2197369e+01  2.0721242e+00 -5.9839797e-01
 -1.6537161e+01  3.5734916e+00 -4.6423120e+00 -1.4679983e+01
  1.7780168e+00 -4.6039262e+00 -9.0576696e+00  1.2802093e+00
 -6.0800495e+00 -5.7414632e+00  2.3062243e+00 -4.5606732e+00
 -2.4791486e+00  1.8635613e+00 -4.1076365e+00  8.6719090e-01
  4.1769147e+00 -1.0406939e+00  3.1145840e+00  3.3306050e+00
 -1.0740424e+00  3.2300847e+00  2.3798745e+00 -1.5188381e-01
  4.6777573e+00  3.7768953e+00  2.6522799e+00  5.9932323e+00
  3.2513433e+00  2.0467818e+00  3.9496300e+00  9.8531872e-01]",1
"[-3.6594577e+02  1.3653711e+02 -2.9152760e+01  6.6552639e+00
  1.5555773e+01 -2.0153130e+01  1.4647464e+00 -4.1004193e-01
 -1.3763445e+01  4.8739290e+00 -4.0012665e+00 -1.3640072e+01
  2.3649256e+00 -3.7747138e+00 -9.1750584e+00 -1.0360479e-01
 -6.0137663e+00 -4.2951555e+00  3.1633830e+00 -4.7955718e+00
 -3.2350390e+00  2.3306961e+00 -2.5194192e+00  1.2398453e+00
  3.3859127e+00 -2.0945170e+00  1.4948537e+00  2.0898733e+00
 -1.3111644e+00  3.2072260e+00  2.5667655e+00  1.6733223e-01
  4.8107624e+00  4.1041112e+00  2.6752961e+00  5.0625129e+00
  2.2239282e+00  1.6612259e+00  4.0142112e+00  1.1367420e+00]",1
"[-3.7219791e+02  1.0991230e+02 -4.0065527e+00  2.3529577e+01
 -1.5570533e+00 -1.0675625e+01 -1.1896716e+01 -5.8099446e+00
 -1.1146583e+01  1.3882722e+00 -2.0789846e+01 -6.4476413e-01
 -7.3689828e+00 -6.6153378e+00 -2.0736327e+00 -5.7479658e+00
 -8.7675743e+00 -5.2546825e+00 -6.0775266e+00 -6.8593540e+00
 -3.2134881e+00 -6.2206826e+00 -3.2794163e+00 -4.4988918e+00
 -5.4374933e+00 -1.4065943e+00 -5.3094778e+00 -1.4269270e+00
 -2.8867788e+00 -3.2945118e+00 -8.6148953e-01 -2.2255422e-01
 -1.7206141e+00 -2.3031988e+00  2.8053194e-02 -3.0217257e-01
  1.2993975e+00 -1.1076945e+00 -3.1554282e-01 -5.3708953e-01]",1
"[-3.5893024e+02  1.4011612e+02 -3.2148464e+01  9.7679596e+00
  1.6958878e+01 -2.3609890e+01  1.9828701e-01 -1.4359646e+00
 -1.5061843e+01  5.8332305e+00 -4.2343884e+00 -1.4984375e+01
  2.4216363e+00 -3.9522579e+00 -9.3328724e+00 -1.9313574e-01
 -7.8415675e+00 -6.2394924e+00  2.1643844e+00 -5.2661548e+00
 -1.9726338e+00  3.9655054e+00 -2.1721427e+00  2.2460201e+00
  5.4510922e+00 -2.6206902e-01  3.0069718e+00  3.0454943e+00
 -5.2335644e-01  4.3393445e+00  3.4654388e+00  9.5851219e-01
  5.0561209e+00  2.9312539e+00  1.4785403e+00  4.5276208e+00
  1.2706566e+00  5.0016224e-01  2.8359609e+00 -9.4022639e-02]",1
"[-3.6017447e+02  1.1070427e+02 -5.8176308e+00  2.6630287e+01
  5.0601657e-02 -7.9875345e+00 -1.1829035e+01 -3.0948737e+00
 -1.0987891e+01  1.9673653e+00 -2.0611183e+01 -7.0691174e-01
 -6.7912278e+00 -3.7117021e+00 -4.5153186e-01 -6.7306929e+00
 -8.3737946e+00 -4.5712705e+00 -4.2463412e+00 -6.1948643e+00
 -2.9344926e+00 -6.5485048e+00 -4.4213858e+00 -4.0719604e+00
 -6.2422347e+00 -1.5375859e+00 -4.8263168e+00 -1.0164616e+00
 -2.7216702e+00 -3.2604733e+00 -1.5529881e+00 -1.6523649e+00
 -1.9616160e+00 -2.8523164e+00 -7.8227317e-01 -2.8484015e+00
 -7.6784903e-01 -1.4572408e+00 -8.1420463e-01 -1.8301384e+00]",1
"[-4.3155771e+02  1.4084872e+02 -1.7473837e+01 -2.3091309e+00
  6.0285749e+00  4.0235820e+00  4.3959948e-01 -1.5330977e+00
 -7.0257325e+00 -7.0840806e-01 -1.1026965e+01 -9.1094446e+00
 -1.3472573e+00  2.3402219e+00 -8.6980639e+00 -5.8478031e+00
 -7.2461209e+00 -1.4006662e+01 -1.0393667e+01 -6.9224920e+00
 -1.0907395e+01 -3.3596196e+00 -6.0830569e+00 -9.4173784e+00
 -7.8328413e-01 -3.5529439e+00 -4.9740176e+00 -3.3256447e+00
 -5.1774721e+00 -2.6180911e-01 -2.2013259e+00 -9.7399676e-01
 -7.3814136e-01 -1.4582156e+00 -1.8892759e+00 -4.9181122e-02
 -2.2124689e+00 -2.5798783e+00  6.9955397e-01 -3.5234685e+00]",1
